"Category","Current Item ID","Current Item","Action","New Item or Destination","Reason","Live DB pick count","Static recommendation ids"
"Sleep + Nursery","crib","Crib, mini crib, bassinet, or approved primary sleep space","KEEP","Crib, mini crib, bassinet, or approved primary sleep space","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5","davinci-dylan-mini-crib|stokke-sleepi-crib"
"Sleep + Nursery","crib-mattress","Appropriately sized firm mattress","KEEP","Appropriately sized firm mattress","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5",""
"Sleep + Nursery","crib-sheets","2-3 fitted sheets per sleep space","KEEP","2-3 fitted sheets per sleep space","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Sleep + Nursery","mattress-protector","2 waterproof mattress protectors","KEEP","2 waterproof mattress protectors","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Sleep + Nursery","safe-sleep-boundaries","Bare-crib safe sleep boundaries","MOVE TO NOTE","Crib, mini crib, bassinet, or approved primary sleep space","Important guidance, but it repeats the crib item note and does not need its own checkbox.","0",""
"Sleep + Nursery","travel-crib","Portable playard / travel crib","KEEP","Portable playard / travel crib","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5","playard-pick"
"Sleep + Nursery","bassinet-if-using","Bassinet + fitted sheets, if using","COMBINE","Crib, mini crib, bassinet, or approved primary sleep space","A bassinet is one form of primary sleep space; keep as decision copy under the sleep-space item.","0",""
"Sleep + Nursery","swaddles","Swaddle trial set","KEEP","Swaddle trial set","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Sleep + Nursery","sleep-sacks","2-3 sleep sacks","KEEP","2-3 sleep sacks","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Sleep + Nursery","monitor","Baby monitor","KEEP","Baby monitor","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2","monitor-pick"
"Sleep + Nursery","audio-monitor","Simple audio monitor","COMBINE","Baby monitor","Same parent decision as monitor type; preserve audio-monitor pick under the monitor item.","1","audio-monitor-pick"
"Sleep + Nursery","sound-machine","Sound machine or portable sound solution","KEEP","Sound machine or portable sound solution","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Sleep + Nursery","portable-sound-machine","Portable sound machine","COMBINE","Sound machine or portable sound solution","Portable sound is a use case of the sound-machine decision.","0",""
"Sleep + Nursery","night-light","Warm dim night-light","KEEP","Warm dim night-light","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Sleep + Nursery","blackout","Blackout curtains or portable blackout solution","KEEP","Blackout curtains or portable blackout solution","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Sleep + Nursery","humidifier","Cool-mist humidifier","KEEP","Cool-mist humidifier","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Sleep + Nursery","nursery-landing-zone","Nursery chair, side table, and small caddy","KEEP","Nursery chair, side table, and small caddy","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","bottle-trial","Bottle trial box or 2-4 individual bottles","KEEP","Bottle trial box or 2-4 individual bottles","Meaningful checklist decision with 6 live product pick(s) or clear planning value.","6","bottle-trial-pick"
"Feeding + Pumping","additional-bottles","Additional bottles after baby chooses a favorite","MOVE TO NOTE","Bottle trial box or 2-4 individual bottles","Quantity comes after baby chooses a bottle; keep as try-first guidance.","0",""
"Feeding + Pumping","slow-flow-nipples","Slow-flow or appropriate nipples","MOVE TO NOTE","Bottle trial box or 2-4 individual bottles","Nipple flow is part of bottle testing, not a standalone registry decision.","0",""
