chart_platform_scope,chart_brand_group,chart_model_verbatim,classification,canonical_us_seat,veer_row_status,note
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,All Graco Click Connect Systems,IDENTITY_REVIEW_REQUIRED,(Graco Click Connect family),NO_ROW_SYSTEM_LEVEL,"System-level claim. Production Graco = GoMax, SnugRide Lite LX, SnugRide SnugFit/DLX/LX — cannot map to ""Click Connect"" per-SKU without first-party attachment proof. Left UNKNOWN (no flip)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,Baby Jogger City Go,CATALOGUE_GAP,—,NO_ROW,Baby Jogger City GO infant seat; not in TMBC CarSeat catalog. Legacy.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,Baby Jogger City Mini GT,CATALOGUE_GAP,—,NO_ROW,Chart lists verbatim; City Mini GT is a Baby Jogger stroller line — not a stocked car seat. Preserved as printed.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,SnugRide SnugLock (all models),CATALOGUE_GAP,—,NO_ROW,Production Graco = SnugRide SnugFit family (a different line). No SnugLock in catalog. SnugFit != SnugLock.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,SnugRide Click Connect,CATALOGUE_GAP,—,NO_ROW,Not in catalog. Legacy Click Connect seat.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Graco,[NEG] Not compatible with any Classic Connect systems,NEGATIVE_STATEMENT,—,NO_ROW,Explicit negative. No Graco Classic Connect seat in production -> no row affected.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe 35,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe 35 Elite,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe Ultra,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe Gen2,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe Gen2 FlexFit,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax B-Safe Gen2 FlexFit+,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Britax Endeavour,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax Legacy (pre-2024),Chaperone,CATALOGUE_GAP,—,NO_ROW,"Legacy/pre-2024 Britax infant seat; not in TMBC CarSeat catalog (production Britax = Willow S/SC, Cypress)."
&Roll,Britax Legacy (pre-2024),[FOOT] Canada: 2 Britax seats cannot be used simultaneously (twin mode),FOOTNOTE,—,NO_ROW,Canada twin-mode restriction on &Roll.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),UPPAbaby,Mesa,CATALOGUE_GAP,—,NO_ROW,Legacy Mesa; production has Mesa V3 only. Mesa != Mesa V3.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),UPPAbaby,Mesa V2,CATALOGUE_GAP,—,NO_ROW,Production has Mesa V3 only. Mesa V2 != Mesa V3.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),UPPAbaby,Mesa Max,CATALOGUE_GAP,—,NO_ROW,Not in catalog.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),UPPAbaby,Aria,EXACT_CANONICAL_MATCH,UPPAbaby Aria,KEEP (already),Exact match; already KEEP_UPDATE on all Veer platforms.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Nuna,Nuna PIPA aire RX,EXACT_CANONICAL_MATCH,Nuna PIPA Aire rx,KEEP (already),Exact match; already KEEP on all platforms.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Nuna,Nuna PIPA lite lx,CATALOGUE_GAP,—,NO_ROW,Legacy PIPA lite lx; not in catalog.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Nuna,Nuna PIPA lite,CATALOGUE_GAP,—,NO_ROW,Legacy PIPA lite; not in catalog.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Nuna,Nuna PIPA RX,EXACT_CANONICAL_MATCH,Nuna PIPA RX,KEEP (already),Exact match; already KEEP on all platforms.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Nuna,Nuna PIPA,CATALOGUE_GAP,—,NO_ROW,"Classic PIPA / PIPA Lite; production has PIPA Aire/Aire rx/RX/urbn, not plain ""PIPA"". Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Cybex,Cybex Aton Q & M,CATALOGUE_GAP,—,NO_ROW,"Legacy Aton Q / Aton M; production Cybex = Aton G2, Aton G2 Swivel, Cloud T, Cloud G Pro. Aton Q/M != Aton G2. Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Maxi-Cosi,Maxi-Cosi Mico Max 30,CATALOGUE_GAP,—,NO_ROW,"Legacy Maxi-Cosi Mico; production = Ambra, Mico Luxe, Mico Pro, Mico XP, Peri 180. No exact match. Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Maxi-Cosi,Maxi-Cosi Mico 30,CATALOGUE_GAP,—,NO_ROW,"Legacy Maxi-Cosi Mico; production = Ambra, Mico Luxe, Mico Pro, Mico XP, Peri 180. No exact match. Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Maxi-Cosi,Maxi-Cosi Nxt,CATALOGUE_GAP,—,NO_ROW,"Legacy Maxi-Cosi Mico; production = Ambra, Mico Luxe, Mico Pro, Mico XP, Peri 180. No exact match. Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Maxi-Cosi,Maxi-Cosi Mico AP,CATALOGUE_GAP,—,NO_ROW,"Legacy Maxi-Cosi Mico; production = Ambra, Mico Luxe, Mico Pro, Mico XP, Peri 180. No exact match. Not aliased."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Clek,Clek Liing,EXACT_CANONICAL_MATCH,Clek Liing,NO_ROW -> ADD_CANDIDATE,"Seat IS in catalog but NO Veer x Clek Liing row exists. Chart-proven ADD candidate on all 4 platforms. (Read-only: documented, not injected.)"
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL (Cruiser platforms only); &Roll; &Jog,Britax (2024+),Britax Cypress / Cyprus,IDENTITY_REVIEW_REQUIRED,Britax Cypress,KEEP (flipped Cruiser; already KEEP &Roll/&Jog),"Chart names ""Britax Cypress"" (Cruiser cols) / ""Britax Cyprus"" (&Roll/&Jog, printed typo). Production stores ""Cypress S"" — a bad identity (Britax lineup: Cypress/Willow/Willow S/Willow SC; no ""Cypress S""). Canonicalized (documented, not aliased). Recommend catalog rename."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax (2024+),Britax Willow,CATALOGUE_GAP,—,NO_ROW,"Chart lists plain ""Britax Willow"" (distinct from Willow S/SC). Production has no plain ""Willow"". Not stocked -> ADD candidate if carried."
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax (2024+),Britax Willow S,EXACT_CANONICAL_MATCH,Britax Willow S,KEEP (flipped Cruiser; already KEEP Switch),Exact match. Flipped REMOVE->KEEP on Cruiser platforms in V1.1.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax (2024+),Britax Willow SC,EXACT_CANONICAL_MATCH,Britax Willow SC,KEEP (flipped Cruiser; already KEEP Switch),Exact match. Flipped REMOVE->KEEP on Cruiser platforms in V1.1.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL (Cruiser platforms only),Britax (2024+),[FOOT] Requires Cruiser seat back to be folded down,FOOTNOTE,—,—,Dagger footnote applies to Britax Willow/Willow S/Willow SC on the Cruiser (non-XL and XL) columns; Britax Cypress carries no dagger.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Britax (2024+)/Nuna/Cybex,"[NEG] Not compatible with Stokke PIPA by Nuna, or Cybex Cloud Q",NEGATIVE_STATEMENT,—,NO_ROW,Explicit negatives. Production has no Stokke PIPA; Cybex Cloud T / Cloud G Pro are NOT Cloud Q. Negative does NOT extend to Cloud T/Cloud G Pro.
&Roll,Cybex,[FOOT] Canada: 2 Cybex seats cannot be used simultaneously (twin mode),FOOTNOTE,—,NO_ROW,Canada twin-mode restriction on &Roll.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Chicco,Chicco Fit2 (all models),CATALOGUE_GAP,—,NO_ROW,Fit2 not in catalog.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Chicco,Chicco Fit2 LE (all models),CATALOGUE_GAP,—,NO_ROW,Fit2 LE not in catalog.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Chicco,Chicco Keyfit (all models),CATALOGUE_GAP,—,NO_ROW,Base KeyFit line; production carries KeyFit 30 (see below) and KeyFit Max. Ambiguous vs KeyFit 30/35 line items.
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Chicco,Chicco Keyfit 35 (all models),CATALOGUE_GAP,—,NO_ROW,KeyFit 35 not stocked. Production KeyFit Max variants are NOT KeyFit 35 (do not alias).
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL; &Roll; &Jog (all 4),Chicco,Chicco Keyfit 30 (all models),EXACT_CANONICAL_MATCH,Chicco KeyFit 30 / KeyFit 30 ClearTex,NO_ROW -> ADD_CANDIDATE,"""(all models)"" covers KeyFit 30 + KeyFit 30 ClearTex. Seats in catalog but NO Veer row. ADD candidate all 4 platforms. (Not injected.)"
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL (Cruiser platforms only),Peg Perego,Primo Viaggio 4-35,EXACT_CANONICAL_MATCH,Peg Perego Primo Viaggio 4-35,NO_ROW -> ADD_CANDIDATE,Seat in catalog; NO Veer row. Chart lists Peg Perego on Cruiser & Cruiser XL only (blank on &Roll/&Jog). ADD candidate on Cruiser platforms. (Not injected.)
Cruiser & Cruiser City; Cruiser XL & Cruiser City XL (Cruiser platforms only),Peg Perego,Primo Viaggio 4-35 Nido,IDENTITY_REVIEW_REQUIRED,Peg Perego Primo Viaggio Nido (likely),NO_ROW,"Production ""Primo Viaggio Nido"" likely = chart ""Primo Viaggio 4-35 Nido"" (drops ""4-35""). Confirm identity before treating as ADD candidate."
