item,kind,lifecycle,implication,source
Cybex Aton G,MISSING_LEGACY_SEAT,"DISCONTINUED / LEGACY (real CYBEX Gold seat, product code 522005649; cybex-online.com marks 'No longer available', replaced by Aton G2)","Aton G is on Thule 20110761 (1476111.pdf) and 20110763 (1476114.pdf) approved lists. If added to the CarSeat catalogue, Thule UG3 / UG4-wheel / UG3 Double x Aton G = MANUFACTURER_EXACT and would become the valid anchor for the 6 Aton G2 VERIFY rows.",https://www.cybex-online.com/en/us/p/10107975.html
Maxi-Cosi Mico Pro / Mico Pro+ / Mico XP / Mico XP Max / Mico Luxe / Mico Luxe+,MODEL_IDENTITY_CHECK,Mico Pro=IC418 (current); Mico XP=IC386; Mico XP Max=IC387/IC337; Mico Luxe=IC365 (all real). Verify current vs legacy per Maxi-Cosi US.,Confirms 'Mico Pro' is a real current model — the earlier NOT_A_LINEAGE_CASE was wrong. 'Not in production catalogue' != 'not a real model'.,https://maxicosi.com/products/mico-pro-infant-car-seat-ic418
Thule Charm (stroller),MISSING_STROLLER,"CURRENT US (display 'Thule Charm 2 in 1'; travel-system ready; bundle/color SKUs 11500502/504/506 = ONE canonical chassis, not three)","Charm + adapter 11500701 (SOLD_SEPARATELY) absent from catalogue. Add the Charm chassis, then materialize the 3 exact ADD pairs (Peri 180, PIPA Aire rx, PIPA RX).",https://www.thule.com/en-us/strollers/strollers-accessories/thule-charm-car-seat-adapters-_-11500701
Cybex Aton G (reinforcement),MISSING_LEGACY_SEAT_CONFIRM,DISCONTINUED/LEGACY — now cited by a SECOND first-party Thule chart,Thule Charm 11500701 (US May 2026) ALSO lists 'Cybex Aton-G' exactly — additional first-party evidence Aton G belongs in the catalogue as a real archived seat. Still proves nothing about Aton G2; the 6 Aton G2 VERIFY rows are unchanged.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Britax B-Safe 5Z,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Cybex Aton-2,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Maxi-Cosi Mico 30,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Nuna Pipa,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Nuna Pipa Lite R,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
Nuna Pipa Lite RX,US_CATALOGUE_GAP_FROM_CHARM_CHART,real US seat on Thule Charm 11500701 chart; not in CarSeat catalogue,Add as a researched US catalogue identity before any Charm compat row; do NOT alias to a similarly-named catalogued seat.,https://www.thule.com/-/s/approved/std.lang.all/03/75/1760375.pdf
