brand,model,displayed_label,expected_label,confidence,primary_source,primary_title,reasons,row_ids,enrichment_ids,mismatched_row_ids,mismatched_enrichment_ids
"Baby Jogger","City Select 2","Full-Size","Single-to-Double","high","babylist_impact","""Baby Jogger City Select 2 Stroller, Eco Collection in Lunar Black Size 35"""" x 23.8"""" x 41.1""""""","single-to-double/modular model language","cmqphgvam0073dqwrhwjqc4we; cmqphgv0z0070dqwr5o3bqmpj","cmqphgvfa0075dqwrae8nz1ag; cmqphgv5v0072dqwrypagaxnv","cmqphgvam0073dqwrhwjqc4we; cmqphgv0z0070dqwr5o3bqmpj","cmqphgvfa0075dqwrae8nz1ag; cmqphgv5v0072dqwrypagaxnv"
"Evenflo","Pivot Xpand Modular","Full-Size","Single-to-Double","high","babylist_impact","""Evenflo Pivot Xpand Modular Stroller in Ayrshire Black Size 26.5"""" x 39.25"""" x 39""""""","single-to-double/modular model language","cmqpi0brf06a9dqwrl3nuv931","cmqpi0bw106abdqwrdwy1va36","cmqpi0brf06a9dqwrl3nuv931","cmqpi0bw106abdqwrdwy1va36"
"Evenflo","Pivot Xpand NXT","Full-Size","Single-to-Double","high","babylist_impact","Evenflo Pivot Xpand NXT Stroller in Coal Black","single-to-double/modular model language","cmqpi0cj406aidqwrfhi8rhfv","cmqpi0cns06akdqwro5cs9nzn","cmqpi0cj406aidqwrfhi8rhfv","cmqpi0cns06akdqwro5cs9nzn"
"Mockingbird","Single-to-Double","Full-Size","Single-to-Double","high","babylist_impact","Mockingbird Single-to-Double Stroller 3.0 in Black","single-to-double/modular model language","cmqpiq4y20edodqwrryk1b6o7","cmqpiq5310edqdqwrx6p2krx4","cmqpiq4y20edodqwrryk1b6o7","cmqpiq5310edqdqwrx6p2krx4"
"Silver Cross","Wave 3 Single to Double","Full-Size","Single-to-Double","high","babylist_impact","Silver Cross Wave 3 Single to Double Stroller in Caramel","single-to-double/modular model language","cmqpiz1rm0h69dqwregxo1kdq","cmqpiz1w90h6bdqwr8kk4st4q","cmqpiz1rm0h69dqwregxo1kdq","cmqpiz1w90h6bdqwr8kk4st4q"
"Thule","""Thule Urban Glide 4-wheel in Black Size 34.6"""" x 22.8"""" x 11""""""","Full-Size","Jogging / All-Terrain","high","babylist_impact","""Thule Urban Glide 4-wheel in Black Size 34.6"""" x 22.8"""" x 11""""""","jogging/all-terrain model language","cmqpj4y4d0j16dqwr4a3udt8r","cmqpj4y900j18dqwrl01a6g1c","cmqpj4y4d0j16dqwr4a3udt8r","cmqpj4y900j18dqwrl01a6g1c"
"Joolz","Dot Ultra Travel","Compact / Mid-Size","Travel","high","shopify_macrobaby","Joolz Dot Ultra Lightweight Travel Stroller, Lagoon Blue","travel stroller model language","cmqx4jo6v006r3a8ua5e763pw; cmqx4jogq006u3a8uj6yv505p","cmqx4jobk006t3a8uftmyv066; cmqx4jon3006w3a8u3w1i2xhk","cmqx4jo6v006r3a8ua5e763pw","cmqx4jobk006t3a8uftmyv066"
"Nuna","SWIV","Compact / Mid-Size","Travel","high","shopify_macrobaby","Nuna - Swiv Stroller, Acorn","travel stroller model language","cmqx4jw3x00963a8uw2n8773w; cmqx4kjfr00gf3a8u4lnd045n; cmqx4k0lc00al3a8ul5660jqs; cmqx4kk8500go3a8ukbtrwurn; cmqx4jxf6009l3a8u72rwm7fp; cmqsn956j006irfr6s4wa73um; cmqx4ki3200g03a8ukk6btv8k","cmqx4jw8r00983a8uz8qw014t; cmqx4kjkt00gh3a8u40s0wnj9; cmqx4k0q200an3a8uryix819o; cmqx4kkd900gq3a8ulpapcwry; cmqx4jxk1009n3a8uwx20guuf; cmqsn95bc006krfr6tdb140p7; cmqx4ki7s00g23a8u081g47r9","cmqx4jw3x00963a8uw2n8773w; cmqx4kjfr00gf3a8u4lnd045n; cmqx4k0lc00al3a8ul5660jqs; cmqx4kk8500go3a8ukbtrwurn; cmqx4jxf6009l3a8u72rwm7fp; cmqsn956j006irfr6s4wa73um; cmqx4ki3200g03a8ukk6btv8k","cmqx4jw8r00983a8uz8qw014t; cmqx4kjkt00gh3a8u40s0wnj9; cmqx4k0q200an3a8uryix819o; cmqx4kkd900gq3a8ulpapcwry; cmqx4jxk1009n3a8uwx20guuf; cmqsn95bc006krfr6tdb140p7; cmqx4ki7s00g23a8u081g47r9"
"Baby Jogger","City Tour 2 Double","Double","Travel","high","babylist_impact","Baby Jogger City Tour 2 Double Stroller in Jet","travel stroller model language","cmqphgvju0076dqwrl9pmxyy5; cmqx4kb5o00du3a8ummim93p1","cmqphgvol0078dqwrk2k6hzwl; cmqx4kbaj00dw3a8ug2dmlzxp","cmqphgvju0076dqwrl9pmxyy5; cmqx4kb5o00du3a8ummim93p1","cmqphgvol0078dqwrk2k6hzwl; cmqx4kbaj00dw3a8ug2dmlzxp"
"Graco","Ready2Grow 2.0 Double","Double","Single-to-Double","high","babylist_impact","""Graco Ready2Grow 2.0 Double Stroller in Rafa Size 42.75"""" x 25.625"""" x 14.50""""""","single-to-double/modular model language","cmqpi2qnj071ldqwrnkadh121","cmqpi2qs4071ndqwrwe6mn3tm","cmqpi2qnj071ldqwrnkadh121","cmqpi2qs4071ndqwrwe6mn3tm"
"Graco","Ready2Grow LX 2.0 Double","Double","Single-to-Double","high","babylist_impact","""Graco Ready2Grow LX 2.0 Double Stroller in Clark Size 42.75"""" x 25.625"""" x 14.50""""""","single-to-double/modular model language","cmqpi2qww071odqwrzwpvujch","cmqpi2r1o071qdqwrqabrsteq","cmqpi2qww071odqwrzwpvujch","cmqpi2r1o071qdqwrqabrsteq"
"Thule","""Thule Urban Glide 3 Double in Black Size 34.6"""" x 31.1"""" x 13.4""""""","Double","Double Jogger","high","babylist_impact","""Thule Urban Glide 3 Double in Black Size 34.6"""" x 31.1"""" x 13.4""""""","double jogging model language","cmqpj4xcb0j0xdqwr8rfomxk3","cmqpj4xgx0j0zdqwr95429nv2","cmqpj4xcb0j0xdqwr8rfomxk3","cmqpj4xgx0j0zdqwr95429nv2"
"Baby Jogger","City Mini GT3","Jogging / All-Terrain","Compact / Mid-Size","high","babylist_impact","Baby Jogger City Mini GT3 All-Terrain Stroller in Deep Sea Blue","compact/mid-size model language","cmqphgs4j0063dqwr2xs3qmd1; cmqsnguyw02jorfr6y03vktez","cmqphgs950065dqwrepjsqy44; cmqsngv3p02jqrfr64vjix1y5","cmqphgs4j0063dqwr2xs3qmd1; cmqsnguyw02jorfr6y03vktez","cmqphgs950065dqwrepjsqy44; cmqsngv3p02jqrfr64vjix1y5"
